,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0.1,15.7,0.1,6.7
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,0.4,2.6,0.7,1.5
Herbaceous_vegetation,0.2,5.7,0.4,2.4
Cultivated_managed_vegetation,0,32.3,0.1,13.3
Regularly_flooded_vegetation,0.4,2.3,0.6,1.7
A_aegypti,3,0.3,6.1,0.2
Deciduous_broadleaf_trees,0,24,0.2,5.7
Evergreen_broadleaf_trees,32.3,0,8.1,0.1
Mixed_trees,0.6,1.6,0.4,2.2
Grasslands,0.4,2.8,0.6,1.6
Shrublands,0.1,19,0.2,5.2
Savannas,0.2,4.9,0.4,2.8
Woody_savannas,0.9,1.2,1.3,0.8
Cropland_&_natural_vegetation,0.9,1.2,1.4,0.7
Croplands_2019,0.5,2,0.4,2.2
Banana_harvested_area,0.1,11.5,0,32.3
Cassava_harvested_area,0.2,6.1,0.1,11.5
Cocoa_harvested_area,0.3,3.5,0.2,5.2
Coffee_harvested_area,0.1,6.7,0.1,13.3
Maize_harvested_area,0.1,8.1,0.1,11.5
Soybean_harvested_area,0.3,3.8,0.3,3
Sugarcane_harvested_area,0.2,4.9,0.3,3.3
Cattle_production,0.1,13.3,0.1,10.1
Forest_loss_2020-2023,5.7,0.2,2.2,0.4
Waterbodies,0.2,6.1,0.2,6.1
Precipitation_mean_2023,2.1,0.5,2.8,0.4
Annual_mean_temperature_2020,0.1,7.3,0.4,2.4
