time,Soil_Moisture_Americas_AM
2018.0325,1.54480454194964
2018.0975,1.54552690775498
2018.1625,1.54439756200809
2018.2275,1.54427375179014
2018.2925,1.54457183493809
2018.3575,1.5423235391853
2018.4225,1.53947986299517
2018.4875,1.54169034260015
2018.5525,1.54175538993186
2018.6175,1.54281431747211
2018.6825,1.54320892408794
2018.7475,1.54181374905619
2018.8125,1.54070477198146
2018.8775,1.53857910095742
2018.9425,1.53928418659676
2019.0075,1.53861025258678
2019.0725,1.53736316630645
2019.1375,1.53643517857757
2019.2025,1.53478684870319
2019.2675,1.53436559969214
2019.3325,1.53441444458734
2019.3975,1.5350209768985
2019.4625,1.53821371486551
2019.5275,1.53822190680507
2019.5925,1.53491740396555
2019.6575,1.53225531638115
2019.7225,1.53124704182642
2019.7875,1.53096271392236
2019.8525,1.53123725599921
2019.9175,1.53065374560971
2019.9825,1.52877570462918
2020.0475,1.52942546255879
2020.1125,1.52959756466589
2020.1775,1.52752404880977
2020.2425,1.52526503261647
2020.3075,1.52294676973538
2020.3725,1.51926038270751
2020.4375,1.51894951217683
2020.5025,1.51724736923457
2020.5675,1.51602058025228
2020.6325,1.51645498398433
2020.6975,1.51455464981379
2020.7625,1.51456393870948
2020.8275,1.51285938019586
2020.8925,1.50903729793648
2020.9575,1.5037688585225
2021.0225,1.50140817504027
2021.0875,1.50098197126826
2021.1525,1.49876118504762
2021.2175,1.49581808867968
2021.2825,1.49100809444057
2021.3475,1.49034603430082
2021.4125,1.48740972550095
2021.4775,1.4822426001516
2021.5425,1.47983261814473
2021.6075,1.47876650709037
2021.6725,1.47677939318239
2021.7375,1.47163978834294
2021.8025,1.4689925753741
2021.8675,1.46638563285887
2021.9325,1.4654060755956
2021.9975,1.46313176043229
2022.0625,1.46173428953849
2022.1275,1.46075539719326
2022.1925,1.45746318829893
2022.2575,1.45626601191456
2022.3225,1.45804021270714
2022.3875,1.45768471499174
2022.4525,1.45532045270771
2022.5175,1.45569674710097
2022.5825,1.44991175249088
2022.6475,1.43982033409248
2022.7125,1.41170080064146
2022.7775,1.37561871118077
2022.8425,1.40285875745837
2022.9075,1.43917987220722
2022.9725,1.43874042099067
2023.0375,1.38831989083883
2023.1025,1.38347717687132
2023.1675,1.33039336349921
2023.2325,1.30864239229703
2023.2975,1.35295972624652
2023.3625,1.36153472017187
2023.4275,1.45339267370048
2023.4925,1.43484810084583
2023.5575,1.41406964552704
2023.6225,1.40294937496873
2023.6875,1.38499770832049
2023.7525,1.37428325859057
2023.8175,1.35686824361032
2023.8825,1.3218688298849
2023.9475,1.35307913918079
2024.0125,1.3634611036681
2024.0775,1.33918350266739
2024.1425,1.26098222416008
2024.2075,1.23216092327955
2024.2725,1.25580419088904
2024.3375,1.21676525014898
2024.4025,NA
2024.4675,NA
