time,cocoa
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1
2022.7775,1.19944552279288
2022.8425,1.19155311552462
2022.9075,1.02831137082764
2022.9725,1.17058760516738
2023.0375,1.08062767426343
2023.1025,1.23831916285822
2023.1675,2.23470506720111
2023.2325,4.08624357439235
2023.2975,7.10506194778616
2023.3625,5.69789701504217
2023.4275,1.00156585819371
2023.4925,1.15284176190694
2023.5575,3.06805972916087
2023.6225,5.60317882842251
2023.6875,6.75760894257462
2023.7525,7.34951062453421
2023.8175,9.86281161074545
2023.8825,16.108030087637
2023.9475,15.7384575375089
2024.0125,8.02566098348139
2024.0775,27.8533316173677
2024.1425,163.555662476323
2024.2075,144.609952945279
2024.2725,34.3134809472095
2024.3375,1
2024.4025,NA
2024.4675,NA
