time,coffee
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1.0000433473326
2020.1125,1.00005201679912
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1.00002444789559
2020.6975,1.00002716432843
2020.7625,1.006179207904
2020.8275,1.007209075888
2020.8925,1.0040300523676
2020.9575,1.00548829990129
2021.0225,1.00511429371768
2021.0875,1.00037594499038
2021.1525,1.00019965781396
2021.2175,1.00015076202278
2021.2825,1.00182390270879
2021.3475,1.00038534540186
2021.4125,1.00031229276148
2021.4775,1.00020606083423
2021.5425,1.00024447895586
2021.6075,1.00061624219351
2021.6725,1.00080018350316
2021.7375,1.00048721163347
2021.8025,1.00570454735868
2021.8675,1.00972062950023
2021.9325,1.02345762521525
2021.9975,1.0220565868523
2022.0625,1.04241088122722
2022.1275,1.10739771711762
2022.1925,1.07650624045608
2022.2575,1.12414441565086
2022.3225,1.13802487355529
2022.3875,1.21763732583611
2022.4525,1.33637202060346
2022.5175,1.53878333992358
2022.5825,1.93071268738004
2022.6475,2.4884448196294
2022.7125,3.79883628912749
2022.7775,6.2269156639965
2022.8425,4.96975501886214
2022.9075,2.6525927508543
2022.9725,2.41290256123376
2023.0375,5.24069437971512
2023.1025,8.59076980276826
2023.1675,20.8002100502182
2023.2325,32.5097900151005
2023.2975,11.5752026142338
2023.3625,8.6979402837921
2023.4275,1.0711501749856
2023.4925,1.09946609111761
2023.5575,1.12182783087487
2023.6225,1.17398928762766
2023.6875,1.15471188521944
2023.7525,1.1554505056582
2023.8175,1.10344025355095
2023.8825,1.26250311856114
2023.9475,1.41545166778865
2024.0125,5.65092784528246
2024.0775,6.70608481417194
2024.1425,14.1619161442626
2024.2075,21.0111940834181
2024.2725,10.2909995882038
2024.3375,4.99237892094651
2024.4025,NA
2024.4675,NA
