time,forest_loss
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1.00005000000165
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1.00002727272857
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1.0000076923075
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1.00000384615375
2020.7625,1.00003205128124
2020.8275,1
2020.8925,1.00002833333371
2020.9575,1.0000275000004
2021.0225,1
2021.0875,1.000028636365
2021.1525,1
2021.2175,1.00002727272857
2021.2825,1.00002287581642
2021.3475,1
2021.4125,1.00002857142785
2021.4775,1
2021.5425,1.00000999999975
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1.00003639706055
2021.9325,1.00002302631521
2021.9975,1
2022.0625,1.00003166666817
2022.1275,1.00004409722247
2022.1925,1.00004365079411
2022.2575,1.00004605263223
2022.3225,1.00006229261117
2022.3875,1.00145815218249
2022.4525,1.00262974185144
2022.5175,1.0082806594054
2022.5825,1.01069583333189
2022.6475,1.00756146582387
2022.7125,1.03759088645496
2022.7775,1.04721332422397
2022.8425,1.0203393234324
2022.9075,1.01079806930678
2022.9725,1.01273747802013
2023.0375,1.03310976257983
2023.1025,1.03149643865557
2023.1675,1.04255969543425
2023.2325,1.03075944490322
2023.2975,1.03844975928022
2023.3625,1.04617545668018
2023.4275,1.00586616650819
2023.4925,1.01327437513536
2023.5575,1.0182755812377
2023.6225,1.03169388527067
2023.6875,1.04578085664026
2023.7525,1.04197958453945
2023.8175,1.03892691824176
2023.8825,1.02307217006636
2023.9475,1.01595856554666
2024.0125,1.02326324893888
2024.0775,1.02078011840809
2024.1425,1.02303931689982
2024.2075,1.02003204316113
2024.2725,1.01559870540795
2024.3375,1.01283771771439
2024.4025,NA
2024.4675,NA
