time,urban
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1
2022.7775,1.01827042905466
2022.8425,1.02062017374517
2022.9075,1.12709212865544
2022.9725,1.58608388883361
2023.0375,1.14532027432636
2023.1025,1.08241631007868
2023.1675,1.26126849504478
2023.2325,1.24800141772508
2023.2975,1.20386727583183
2023.3625,1.083739679594
2023.4275,1
2023.4925,1
2023.5575,1.293270840308
2023.6225,3.72725737989581
2023.6875,4.95065215875009
2023.7525,7.07371794871794
2023.8175,11.7281818181818
2023.8825,31.1723135864261
2023.9475,17.0557842616236
2024.0125,5.53656688711025
2024.0775,2.37917768935362
2024.1425,2.23758922185697
2024.2075,4.49786512355985
2024.2725,12.5925116829908
2024.3375,15.5734451718494
2024.4025,NA
2024.4675,NA
