time,orov_suitability_cumulative
2018.0325,1.25699999555945
2018.0975,1.25666666403413
2018.1625,1.25541666522622
2018.2275,1.2494000017643
2018.2925,1.24579999893904
2018.3575,1.25333333015442
2018.4225,1.2693333302935
2018.4875,1.27028571849778
2018.5525,1.26749999821186
2018.6175,1.2660000026226
2018.6825,1.26799999798338
2018.7475,1.26241666513185
2018.8125,1.26600000758966
2018.8775,1.26225000433624
2018.9425,1.27080000638962
2019.0075,1.28025000542402
2019.0725,1.28000000119209
2019.1375,1.25633333623409
2019.2025,1.27200000174344
2019.2675,1.27464286025081
2019.3325,1.27766667107741
2019.3975,1.27866666515668
2019.4625,1.27866666515668
2019.5275,1.27600000301997
2019.5925,1.28400000184774
2019.6575,1.27866666515668
2019.7225,1.28333333134651
2019.7875,1.29034285971097
2019.8525,1.28469999879599
2019.9175,1.29050000011921
2019.9825,1.29234999753535
2020.0475,1.2965333322684
2020.1125,1.30179999917746
2020.1775,1.28508571258613
2020.2425,1.29228571908815
2020.3075,1.28766666849454
2020.3725,1.29126785416156
2020.4375,1.28350000828505
2020.5025,1.27809999957681
2020.5675,1.27800000136097
2020.6325,1.29399999789894
2020.6975,1.30699999928474
2020.7625,1.29966666301092
2020.8275,1.28688095172956
2020.8925,1.28622222277853
2020.9575,1.28637143139328
2021.0225,1.29150000214577
2021.0875,1.28750000149012
2021.1525,1.2836000084877
2021.2175,1.28230000883341
2021.2825,1.28919999785721
2021.3475,1.28235714669739
2021.4125,1.28350000828505
2021.4775,1.27983333667119
2021.5425,1.28682142775506
2021.6075,1.28307143173047
2021.6725,1.28380000293255
2021.7375,1.28600000093381
2021.8025,1.28649999822179
2021.8675,1.29090909456665
2021.9325,1.28300000727177
2021.9975,1.28450000472367
2022.0625,1.28147222205169
2022.1275,1.29449999704957
2022.1925,1.28425000421703
2022.2575,1.29077142732484
2022.3225,1.28995833608011
2022.3875,1.28566667047285
2022.4525,1.28546154212493
2022.5175,1.28255952247197
2022.5825,1.27893918985753
2022.6475,1.28183333504768
2022.7125,1.28358485125231
2022.7775,1.2680000004834
2022.8425,1.26688716505841
2022.9075,1.28501130479047
2022.9725,1.2973841910185
2023.0375,1.30659317376554
2023.1025,1.30614847554979
2023.1675,1.34262197776559
2023.2325,1.322302752811
2023.2975,1.3469938597398
2023.3625,1.34957534238084
2023.4275,1.32712611661348
2023.4925,1.49433481660117
2023.5575,1.66633750330657
2023.6225,1.63591444293127
2023.6875,1.59374123138555
2023.7525,1.54328571661689
2023.8175,1.48875840062411
2023.8825,1.57743139825852
2023.9475,1.6540660255392
2024.0125,1.5404386693485
2024.0775,1.38814293178363
2024.1425,1.45129946506049
2024.2075,1.59791976636321
2024.2725,1.6437642216103
2024.3375,1.50638094437974
2024.4025,NA
2024.4675,NA
