time,orov_suitability_premid2023
2018.0325,1.2580650783393
2018.0975,1.25546927373696
2018.1625,1.2531041659824
2018.2275,1.24759492730533
2018.2925,1.24555428535527
2018.3575,1.25139775303095
2018.4225,1.27721431361704
2018.4875,1.28415704579402
2018.5525,1.27289900173425
2018.6175,1.27240295394394
2018.6825,1.27823034988178
2018.7475,1.27476927223905
2018.8125,1.27624181402033
2018.8775,1.27725100137388
2018.9425,1.27697846919034
2019.0075,1.28211466204256
2019.0725,1.28647620851126
2019.1375,1.27220008438052
2019.2025,1.27464504363304
2019.2675,1.27662054200204
2019.3325,1.28042496331036
2019.3975,1.28594719058221
2019.4625,1.2881521709776
2019.5275,1.28246936093036
2019.5925,1.28413739669035
2019.6575,1.28274435869956
2019.7225,1.27968632814184
2019.7875,1.28927147028536
2019.8525,1.29535813463458
2019.9175,1.2952749672331
2019.9825,1.29539645243506
2020.0475,1.29032679743073
2020.1125,1.29144789396336
2020.1775,1.28919773196146
2020.2425,1.28946961380682
2020.3075,1.28899292837633
2020.3725,1.29105292776951
2020.4375,1.29099319551765
2020.5025,1.28810326160875
2020.5675,1.28664811013839
2020.6325,1.2895197917118
2020.6975,1.28774721997702
2020.7625,1.28358353949418
2020.8275,1.2842722890717
2020.8925,1.27934725358087
2020.9575,1.2834320051878
2021.0225,1.2829723233294
2021.0875,1.28319973756453
2021.1525,1.27832612923774
2021.2175,1.27907601486563
2021.2825,1.27886332500563
2021.3475,1.27067776757758
2021.4125,1.27427491724151
2021.4775,1.27194731285384
2021.5425,1.27385847853185
2021.6075,1.27494399091262
2021.6725,1.26981668991654
2021.7375,1.27459790382977
2021.8025,1.27858043660568
2021.8675,1.27759517612325
2021.9325,1.28259307511354
2021.9975,1.28203749660379
2022.0625,1.27463639660914
2022.1275,1.27866596872258
2022.1925,1.27251821862999
2022.2575,1.26478495017657
2022.3225,1.27503869985476
2022.3875,1.27370084280622
2022.4525,1.26608327041837
2022.5175,1.26751916243068
2022.5825,1.26009015831793
2022.6475,1.2536145132246
2022.7125,1.24293356168339
2022.7775,1.23306116855402
2022.8425,1.25971740620679
2022.9075,1.29598461677926
2022.9725,1.30970813834381
2023.0375,1.26827640925057
2023.1025,1.26881253126811
2023.1675,1.2291890474654
2023.2325,1.21993017836676
2023.2975,1.23451072933464
2023.3625,1.26463112264647
2023.4275,1.44397267241271
2023.4925,1.48824108715977
2023.5575,1.53713112673601
2023.6225,1.53613226123575
2023.6875,1.51708089552757
2023.7525,1.46631686576804
2023.8175,1.413640924946
2023.8825,1.50269274782194
2023.9475,1.58859974055399
2024.0125,1.50112233632513
2024.0775,1.33452424629301
2024.1425,1.27937090776354
2024.2075,1.31487998868766
2024.2725,1.30886360193331
2024.3375,1.2692255239999
2024.4025,NA
2024.4675,NA
